,index,subid,lure_or_no,is_high_arm,accuracy,dprime_lt_high,dprime_lt_low,dprime_lbst_high,dprime_lbst_low
0,492,A2XGVGSG5WR173,lure,False,0.375,1.1503493803760079,0.35585038623170656,0.7196220810805501,0.24376245090062398
1,493,A2XGVGSG5WR173,lure,True,0.5,1.1503493803760079,0.35585038623170656,0.7196220810805501,0.24376245090062398
2,494,A2XGVGSG5WR173,lure_but_seen,False,0.3333333333333333,1.1503493803760079,0.35585038623170656,0.7196220810805501,0.24376245090062398
3,495,A2XGVGSG5WR173,lure_but_seen,True,0.3333333333333333,1.1503493803760079,0.35585038623170656,0.7196220810805501,0.24376245090062398
4,496,A2XGVGSG5WR173,target,False,0.75,1.1503493803760079,0.35585038623170656,0.7196220810805501,0.24376245090062398
5,497,A2XGVGSG5WR173,target,True,0.875,1.1503493803760079,0.35585038623170656,0.7196220810805501,0.24376245090062398
0,498,A2ZDEERVRN5AMC,lure,False,0.9375,3.0682410887050926,2.208610294548628,2.9171146714531844,2.0574838772967197
1,499,A2ZDEERVRN5AMC,lure,True,0.9375,3.0682410887050926,2.208610294548628,2.9171146714531844,2.0574838772967197
2,500,A2ZDEERVRN5AMC,lure_but_seen,False,0.9166666666666666,3.0682410887050926,2.208610294548628,2.9171146714531844,2.0574838772967197
3,501,A2ZDEERVRN5AMC,lure_but_seen,True,0.9166666666666666,3.0682410887050926,2.208610294548628,2.9171146714531844,2.0574838772967197
4,502,A2ZDEERVRN5AMC,target,False,0.75,3.0682410887050926,2.208610294548628,2.9171146714531844,2.0574838772967197
5,503,A2ZDEERVRN5AMC,target,True,0.9375,3.0682410887050926,2.208610294548628,2.9171146714531844,2.0574838772967197
0,504,A30CGO77OY7WP0,lure,False,0.375,1.5341205443525463,0.8317100164116327,0.5666989782508453,-0.2326447467246302
1,505,A30CGO77OY7WP0,lure,True,0.5,1.5341205443525463,0.8317100164116327,0.5666989782508453,-0.2326447467246302
2,506,A30CGO77OY7WP0,lure_but_seen,False,0.08333333333333333,1.5341205443525463,0.8317100164116327,0.5666989782508453,-0.2326447467246302
3,507,A30CGO77OY7WP0,lure_but_seen,True,0.16666666666666666,1.5341205443525463,0.8317100164116327,0.5666989782508453,-0.2326447467246302
4,508,A30CGO77OY7WP0,target,False,0.875,1.5341205443525463,0.8317100164116327,0.5666989782508453,-0.2326447467246302
5,509,A30CGO77OY7WP0,target,True,0.9375,1.5341205443525463,0.8317100164116327,0.5666989782508453,-0.2326447467246302
0,510,A30RTQC0LLY19K,lure,False,0.5,0.35585038623170656,0.0,-0.31863936396437514,-0.4307272992954577
1,511,A30RTQC0LLY19K,lure,True,0.75,0.35585038623170656,0.0,-0.31863936396437514,-0.4307272992954577
2,512,A30RTQC0LLY19K,lure_but_seen,False,0.3333333333333333,0.35585038623170656,0.0,-0.31863936396437514,-0.4307272992954577
3,513,A30RTQC0LLY19K,lure_but_seen,True,0.5,0.35585038623170656,0.0,-0.31863936396437514,-0.4307272992954577
4,514,A30RTQC0LLY19K,target,False,0.5,0.35585038623170656,0.0,-0.31863936396437514,-0.4307272992954577
5,515,A30RTQC0LLY19K,target,True,0.375,0.35585038623170656,0.0,-0.31863936396437514,-0.4307272992954577
0,516,A3191G66DZEGEB,lure,False,0.75,0.6744897501960817,0.35585038623170656,0.43072729929545744,0.1120879353310823
1,517,A3191G66DZEGEB,lure,True,0.75,0.6744897501960817,0.35585038623170656,0.43072729929545744,0.1120879353310823
2,518,A3191G66DZEGEB,lure_but_seen,False,0.6666666666666666,0.6744897501960817,0.35585038623170656,0.43072729929545744,0.1120879353310823
3,519,A3191G66DZEGEB,lure_but_seen,True,0.6666666666666666,0.6744897501960817,0.35585038623170656,0.43072729929545744,0.1120879353310823
4,520,A3191G66DZEGEB,target,False,0.375,0.6744897501960817,0.35585038623170656,0.43072729929545744,0.1120879353310823
5,521,A3191G66DZEGEB,target,True,0.5,0.6744897501960817,0.35585038623170656,0.43072729929545744,0.1120879353310823
