,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num,high or low arm
17851,3,object_05,object_03,452.915,6,1,526.525,0.8888888888888888,2,object_04,1,2642,0,9,8,library_26,2,memory-2step-stake-s,675,3159726,0.0-18.0-0.1-0.187,3855,6,5,low
17852,3,object_05,object_03,496.725,5,2,376.07499989999997,0.7777777777777778,1,object_06,1,2649,0,7,6,library_26,2,memory-2step-stake-s,676,3168046,0.0-18.0-0.1-0.188,3855,6,5,low
17853,3,object_03,object_05,662.875,6,2,550.625,0.5555555555555556,2,object_04,1,2654,0,9,5,library_8,2,memory-2step-stake-s,677,3176346,0.0-18.0-0.1-0.189,3855,5,6,low
17854,1,object_01,object_08,491.775,2,2,482.06999989999997,1.0,2,object_04,5,2699,0,8,9,desert_8,2,memory-2step-stake-s,678,3184977,0.0-18.0-0.1-0.190,3855,1,2,high
17855,2,object_07,object_09,537.09,3,2,703.215,0.7777777777777778,1,object_06,5,2734,0,7,8,forest_18,2,memory-2step-stake-s,679,3193631,0.0-18.0-0.1-0.191,3855,4,3,high
17856,2,object_09,object_07,691.19,3,1,480.985,0.6666666666666666,1,object_06,1,2740,0,6,6,forest_23,2,memory-2step-stake-s,680,3201958,0.0-18.0-0.1-0.192,3855,3,4,high
17857,4,object_02,object_10,119.7500001,8,2,356.11500010000003,0.8888888888888888,2,object_04,1,2748,0,3,8,restaurant_3,2,memory-2step-stake-s,681,3210357,0.0-18.0-0.1-0.193,3855,7,8,low
17858,3,object_05,object_03,685.955,5,2,517.5900001,0.1111111111111111,1,object_06,1,2749,0,1,6,library_15,2,memory-2step-stake-s,682,3218198,0.0-18.0-0.1-0.194,3855,6,5,low
17859,4,object_02,object_10,760.4649999,7,1,462.35500010000004,0.1111111111111111,1,object_06,5,2754,0,1,6,restaurant_20,2,memory-2step-stake-s,683,3225991,0.0-18.0-0.1-0.195,3855,7,8,low
17860,1,object_08,object_01,504.07,1,2,472.3850001,0.0,1,object_06,1,2754,0,0,6,desert_14,2,memory-2step-stake-s,684,3233688,0.0-18.0-0.1-0.196,3855,2,1,high
17861,1,object_08,object_01,832.615,2,1,416.4999999,0.7777777777777778,2,object_04,5,2789,0,2,7,desert_23,2,memory-2step-stake-s,685,3242052,0.0-18.0-0.1-0.197,3855,2,1,high
17862,3,object_05,object_03,479.4299999,5,2,504.115,0.3333333333333333,1,object_06,5,2804,0,3,9,library_28,2,memory-2step-stake-s,686,3250087,0.0-18.0-0.1-0.198,3855,6,5,low
17863,1,object_01,object_08,512.675,2,2,500.595,1.0,2,object_04,5,2849,0,2,9,desert_21,2,memory-2step-stake-s,687,3258743,0.0-18.0-0.1-0.199,3855,1,2,high
17864,2,object_07,object_09,475.08499989999996,4,1,570.28,0.8888888888888888,2,object_04,1,2857,0,2,8,forest_26,2,memory-2step-stake-s,688,3267369,0.0-18.0-0.1-0.200,3855,4,3,high
17865,2,object_09,object_07,373.685,3,1,991.3850001000001,0.0,1,object_06,5,2857,0,0,8,forest_31,2,memory-2step-stake-s,689,3275588,0.0-18.0-0.1-0.201,3855,3,4,high
17866,2,object_07,object_09,550.9050001,3,2,447.8150001,0.2222222222222222,1,object_06,5,2867,0,2,9,forest_15,2,memory-2step-stake-s,690,3283470,0.0-18.0-0.1-0.202,3855,4,3,high
17867,3,object_03,object_05,864.13,5,1,569.565,0.2222222222222222,1,object_06,5,2877,0,2,8,library_28,2,memory-2step-stake-s,691,3291467,0.0-18.0-0.1-0.203,3855,5,6,low
17868,4,object_02,object_10,353.485,8,2,354.23000010000004,0.7777777777777778,2,object_04,1,2884,0,1,7,restaurant_25,2,memory-2step-stake-s,692,3299763,0.0-18.0-0.1-0.204,3855,7,8,low
17869,4,object_10,object_02,917.56,8,1,531.065,1.0,2,object_04,1,2893,0,4,9,restaurant_26,2,memory-2step-stake-s,693,3308453,0.0-18.0-0.1-0.205,3855,8,7,low
17870,2,object_09,object_07,405.645,4,2,407.4500001,0.6666666666666666,2,object_04,5,2923,0,2,6,forest_13,2,memory-2step-stake-s,694,3316713,0.0-18.0-0.1-0.206,3855,3,4,high
17871,2,object_09,object_07,377.63499989999997,3,1,364.66,0.0,1,object_06,5,2923,0,0,8,forest_26,2,memory-2step-stake-s,695,3324309,0.0-18.0-0.1-0.207,3855,3,4,high
17872,2,object_07,object_09,330.91,3,2,445.895,0.0,1,object_06,1,2923,0,0,8,forest_19,2,memory-2step-stake-s,696,3331985,0.0-18.0-0.1-0.208,3855,4,3,high
17873,4,object_02,object_10,518.215,7,1,503.19999989999997,0.2222222222222222,1,object_06,1,2925,0,2,6,restaurant_13,2,memory-2step-stake-s,697,3339924,0.0-18.0-0.1-0.209,3855,7,8,low
17874,4,object_10,object_02,510.37,7,2,664.845,0.5555555555555556,1,object_06,5,2950,0,5,4,restaurant_24,2,memory-2step-stake-s,698,3348332,0.0-18.0-0.1-0.210,3855,8,7,low
17875,2,object_07,object_09,540.6600001,3,2,931.725,0.5555555555555556,1,object_06,5,2975,0,5,4,forest_12,2,memory-2step-stake-s,699,3357006,0.0-18.0-0.1-0.211,3855,4,3,high
17876,3,object_05,object_03,321.4050001,6,1,1044.175,0.1111111111111111,2,object_04,5,2980,0,5,1,library_1,2,memory-2step-stake-s,700,3365373,0.0-18.0-0.1-0.212,3855,6,5,low
17877,2,object_07,object_09,358.215,3,2,333.61,0.6666666666666666,1,object_06,5,3010,0,6,1,forest_12,2,memory-2step-stake-s,701,3373553,0.0-18.0-0.1-0.213,3855,4,3,high
17878,2,object_09,object_07,56.90999993,3,1,426.295,0.8888888888888888,1,object_06,1,3018,0,8,2,forest_21,2,memory-2step-stake-s,702,3382034,0.0-18.0-0.1-0.214,3855,3,4,high
17879,2,object_07,object_09,650.755,3,2,556.25,0.8888888888888888,1,object_06,5,3058,0,8,2,forest_18,2,memory-2step-stake-s,703,3390652,0.0-18.0-0.1-0.215,3855,4,3,high
17880,3,object_03,object_05,1044.53,6,2,671.145,0.3333333333333333,2,object_04,5,3073,0,3,3,library_8,2,memory-2step-stake-s,704,3398857,0.0-18.0-0.1-0.216,3855,5,6,low
17881,3,object_05,object_03,992.775,6,1,471.4500001,0.5555555555555556,2,object_04,1,3078,0,5,5,library_22,2,memory-2step-stake-s,705,3407061,0.0-18.0-0.1-0.217,3855,6,5,low
17882,4,object_02,object_10,325.33499989999996,8,2,385.9399999,0.6666666666666666,2,object_04,1,3084,0,3,6,restaurant_13,2,memory-2step-stake-s,706,3415299,0.0-18.0-0.1-0.218,3855,7,8,low
17883,3,object_03,object_05,242.07,5,1,385.385,0.3333333333333333,1,object_06,5,3099,0,3,6,library_25,2,memory-2step-stake-s,707,3423222,0.0-18.0-0.1-0.219,3855,5,6,low
